accx,accy,accz,Total_Acceleration
1.426164,-0.3624851,0.2789144,1.4977090655882972
1.496596,-0.5911266,0.1201374,1.6135870721229517
1.305815,-0.6455474,0.01258737,1.4567232756276247
0.9738244,-0.5438376,-0.001186083,1.1153899336115611
0.6913776,-0.4242498,-0.01527766,0.8113102276422229
0.6492949,-0.2887083,-0.0715838,0.7141852631336914
0.8106172,-0.2222879,-0.1222358,0.849384333634598
0.9734472,-0.2824559,-0.1586777,1.0259431753805568
1.040501,-0.3107249,-0.1508142,1.096328973165742
1.043094,-0.3411343,-0.1204699,1.1040519463677876
1.016086,-0.4059134,-0.1130565,1.0999900999044538
0.8536427,-0.3432047,-0.03316718,0.9206494377310684
0.6200492,-0.2385227,0.05045887,0.6662583480884925
0.5921955,-0.2058805,0.01613476,0.6271703285238848
0.764442,-0.1787409,-0.04655976,0.786439884509978
0.8930882,-0.1682792,-0.1129415,0.9157948485081853
0.954825,-0.1519501,-0.150845,0.978536574451875
0.9965834,-0.1199801,-0.1239596,1.0114048052010283
0.9591872,-0.1070872,-0.09360076,0.9696746131152747
0.9362187,-0.05984992,-0.0642393,0.9403266213492981
0.9660956,-0.01147108,-0.08084611,0.9695402970056781
0.9836843,-0.01565788,-0.1356187,0.9931124825830527
1.02707,-0.09324445,-0.1364892,1.0402867941449812
1.07299,-0.2432327,-0.1042096,1.1051376960277168
1.113724,-0.3189828,-0.03725875,1.1591028381137725
1.20634,-0.2866906,0.04911245,1.2409108463033767
1.326766,-0.213357,0.04328426,1.3445083693933435
1.383976,-0.07533852,-0.06431195,1.3875163019166994
1.338608,0.01665338,-0.1826335,1.3511120264625263
1.196393,-0.04971595,-0.2131508,1.2162488025375575
0.9511511,-0.186014,-0.1679986,0.9836224645813911
0.7868964,-0.3603865,-0.1725883,0.8825367386189088
0.8559308,-0.5385827,-0.2312652,1.0373873200781711
1.079928,-0.600819,-0.3064754,1.2732459019176776
1.397661,-0.6158959,-0.3648347,1.570314741980696
1.531087,-0.5873186,-0.3011638,1.6672942673401718
1.325995,-0.3979763,-0.191277,1.397581756505032
1.111877,-0.1820091,-0.1245712,1.1335412473665216
0.9403184,-0.04803354,-0.04031787,0.9424072606812983
0.7874425,-0.02305072,-0.01010319,0.7878445918751645
0.8005,-0.09977434,-0.03482441,0.8074452974996409
0.7746061,-0.1715408,-0.01920838,0.7936055809305238
0.6855571,-0.2655823,-0.01045425,0.7352766736248081
0.6757468,-0.3039359,0.001713908,0.7409545913884888
0.6084948,-0.264507,0.05622584,0.6658762796193791
0.5200255,-0.2892875,0.1374895,0.6107512921940894
0.5084297,-0.2508146,0.1935076,0.5990441675477777
0.5794683,-0.1579257,0.138866,0.6164477296424897
0.7328944,-0.1585314,0.08160128,0.754271287558368
0.9133838,-0.2062404,0.1004191,0.9417478772683323
1.105895,-0.262104,0.098844,1.1408209299346679
1.246056,-0.2540783,0.122702,1.2776020970830042
1.337964,-0.1735189,0.1713068,1.3600009167936065
1.376512,-0.07398542,0.1818529,1.3904422338792024
1.331481,-0.01360226,0.2516868,1.3551283777311829
1.347578,-0.1255195,0.308532,1.3881331369822743
1.401607,-0.3784688,0.1549877,1.4600554791423954
1.407725,-0.6159343,-0.06608585,1.5379961238935917
1.272945,-0.6488126,-0.09871717,1.4321633435458991
0.8764992,-0.4226665,-0.02657469,0.9734495528641873
0.5792235,-0.2295824,0.01270148,0.6231928023783654
0.7130404,-0.2234937,0.02575944,0.7476895042201432
0.990639,-0.3007356,-0.09551735,1.039678360638223
1.094669,-0.3959507,-0.2485766,1.190322436341956
1.016552,-0.4693631,-0.1547907,1.1303273194752483
0.8485091,-0.5214301,-0.01946882,0.9961104742552466
0.7518578,-0.4736743,-0.04555395,0.8897936031810594
0.7364702,-0.324127,-0.06816326,0.8075226917126649
0.6958857,-0.2070821,-0.1003583,0.732947264121908
0.7869642,-0.1265894,-0.1389146,0.809095046559525
0.9654996,-0.1080033,-0.1211135,0.9790417101907865
1.000556,-0.1161962,-0.1286028,1.0154568165108155
0.9389306,-0.1040736,-0.08877885,0.9488433327165463
0.8756684,-0.1453178,-0.02171999,0.8879099997865775
0.9091745,-0.1683756,-0.03461636,0.9252820686175971
0.9460272,-0.1730359,-0.06483544,0.963904829383401
0.930034,-0.2094532,-0.1022279,0.9587932142462472
0.9999721,-0.2204243,-0.09968515,1.0288188382506527
1.069878,-0.2040129,-0.06151495,1.0908915103363455
1.15435,-0.1421766,-0.04023758,1.1637685211981876
1.221505,-0.07700857,-0.003519481,1.2239351174081714
1.204654,-0.02243719,-0.04095371,1.2055587474585634
1.288103,0.009117527,-0.1424557,1.2959884622827804
1.359225,-0.0658364,-0.2139737,1.3775383030905708
1.276283,-0.1599356,-0.2362988,1.3077900500912982
