accx,accy,accz,Total_Acceleration
1.018851,-0.123976,0.09792958,1.0310274542493891
1.02238,-0.1268078,0.09935086,1.0349935632280907
1.020781,-0.1277862,0.09811381,1.0334164129643753
1.020218,-0.1266547,0.09751712,1.0326644030125105
1.021344,-0.1236336,0.0974719,1.0334067953495225
1.020522,-0.1249187,0.09657678,1.0326649546338145
1.01979,-0.1243005,0.09774064,1.031976497362154
1.019216,-0.1197982,0.09730921,1.03083555707497
1.018307,-0.1192223,0.09815882,1.029950609014861
1.017996,-0.120174,0.1011657,1.0300447296833715
1.017932,-0.1213162,0.1016211,1.0301601938396039
1.018121,-0.1222915,0.1015734,1.0304575377961045
1.018305,-0.1264941,0.1011669,1.0311064794750442
1.018458,-0.132631,0.1013595,1.0320472024889416
1.018201,-0.1286242,0.1011384,1.031264484592192
1.017129,-0.122015,0.09923839,1.029216848344309
1.017814,-0.1218544,0.1005806,1.0300049953722166
1.0188,-0.1212108,0.1025034,1.031092840169206
1.017601,-0.120603,0.1001684,1.0296070061769005
1.01797,-0.1209479,0.09859667,1.029860485089849
1.018489,-0.1212181,0.1007798,1.030616436399425
1.017787,-0.1236811,0.1003598,1.0301744907161359
1.019167,-0.1255531,0.09920002,1.0316518786764313
1.019789,-0.1241987,0.1017142,1.032347180014713
1.019462,-0.1221575,0.101472,1.0317566530118671
1.020433,-0.1233974,0.1012259,1.032839343095803
1.021189,-0.127263,0.1026532,1.0341955928934525
1.021903,-0.1302381,0.1016078,1.0351675464007988
1.021936,-0.1312862,0.1006335,1.0352373427039279
1.02055,-0.1299998,0.09614245,1.0332790625925035
1.018878,-0.1277708,0.09032558,1.0308231985258074
1.018548,-0.1239092,0.0899055,1.0299886004606507
1.017389,-0.1197379,0.0931167,1.0286341729868302
1.015021,-0.121468,0.09574084,1.0267367792715452
1.01931,-0.1260118,0.09424991,1.0313849404437938
1.024606,-0.1282198,0.09448054,1.0369109628057422
1.021863,-0.1263671,0.09775536,1.0342769189826
1.020201,-0.1217475,0.09900205,1.0321985952622936
1.020573,-0.1218799,0.09852306,1.0325360776770822
1.018729,-0.1239658,0.09542946,1.0306711778479747
1.01936,-0.1242567,0.0942117,1.0312179117489086
1.019954,-0.1261499,0.09773522,1.0323624037199624
1.018969,-0.1276499,0.1021875,1.0320051381108817
1.019633,-0.1295878,0.1034573,1.0330284921148738
1.019553,-0.1303476,0.09961019,1.0326669388464975
1.019179,-0.1299795,0.09758879,1.0320581749082336
1.019695,-0.1321647,0.09861568,1.0329426185867987
1.019145,-0.12887,0.09788232,1.0319132504690414
1.018516,-0.124246,0.09687653,1.0306294061576355
1.017926,-0.1267462,0.09700962,1.0303634344555248
1.01778,-0.1270445,0.09758221,1.0303100121268034
1.018917,-0.1256371,0.09707332,1.0312127633234727
1.020606,-0.12678,0.09742485,1.033054392098268
1.022583,-0.1258547,0.0993411,1.035076833645841
1.020981,-0.1234932,0.1000578,1.033278440764192
1.018065,-0.1219945,0.09856404,1.0300746925521331
1.019638,-0.1239103,0.09317716,1.0313570655382915
1.020017,-0.1279703,0.08874205,1.0318363384807168
1.018766,-0.1282954,0.09050464,1.0307933654611334
1.019815,-0.1270103,0.09484291,1.032060767643242
1.01929,-0.1261848,0.09835045,1.0317691209113804
1.018445,-0.1240696,0.1003852,1.0308737420500147
1.019372,-0.1227451,0.09987355,1.0315814848801874
1.021171,-0.121326,0.09498741,1.0327307575430822
1.023127,-0.1200157,0.09111667,1.0341638525530557
1.021882,-0.1214994,0.0926756,1.0332442561948845
1.019178,-0.1228407,0.09606378,1.0310392248059133
1.015861,-0.1237173,0.09989713,1.0282309945836718
1.012893,-0.1238168,0.0976265,1.0250920753344501
1.016451,-0.1213038,0.08829054,1.0274640951142437
1.020331,-0.1212583,0.08224058,1.030796991593702
1.020266,-0.125411,0.08109954,1.0311390619432528
1.021759,-0.1294583,0.08129546,1.0331310939742846
1.018649,-0.1298562,0.08192691,1.030155539936367
1.013117,-0.1277827,0.08754584,1.0248896273304728
1.016167,-0.1256833,0.09374196,1.0281922090993163
1.018977,-0.121083,0.09105401,1.0301776798955995
1.016653,-0.1178711,0.08817375,1.027254364222062
1.017782,-0.1181788,0.08861402,1.0284448807952715
1.020528,-0.1174953,0.09200702,1.031381518176165
1.021877,-0.1174196,0.09805868,1.0332644725899087
1.022096,-0.1165236,0.09542812,1.0331333450526579
1.020731,-0.116636,0.09248751,1.0315278330529916
1.020761,-0.1209724,0.0956355,1.0323436877043468
1.020405,-0.1256922,0.09434238,1.0324366217012568
1.020213,-0.129232,0.09421302,1.0326720526529807
1.021675,-0.126144,0.09695504,1.0339885851122352
1.019989,-0.1194885,0.09729701,1.0315627804007812
1.017997,-0.1173506,0.09752661,1.0293689790291198
1.017391,-0.1177075,0.09736884,1.0287955061333596
1.017994,-0.1205666,0.09889255,1.0298678679894149
1.021661,-0.1216256,0.1005364,1.0337753881870664
1.022348,-0.120834,0.09808253,1.0341259455942495
1.020336,-0.1215108,0.0973082,1.0321430681838055
